@context,@type,@id,name,url,image,description,sku,offers
https://schema.org/,Product,https://bicerin.it/prodotto/mandorle-al-cioccolato-sacchetto-gr-200/#product,"Mandorle al Cioccolato, sacchetto gr.200",https://bicerin.it/prodotto/mandorle-al-cioccolato-sacchetto-gr-200/,https://bicerin.it/wp-content/uploads/2021/03/dragees-mandorle-webstore-16-03-2021.jpeg,"I nostri dragèes di Mandorle ricoperte di cioccolato fondente e al latte.

Sacchetto da gr.200",1919,"[{'@type': 'Offer', 'price': '12.50', 'priceValidUntil': '2023-12-31', 'priceSpecification': {'price': '12.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/mandorle-al-cioccolato-sacchetto-gr-200/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/dragees-nocciole/#product,"Nocciole al Cioccolato, sacchetto gr.200",https://bicerin.it/prodotto/dragees-nocciole/,https://bicerin.it/wp-content/uploads/2020/01/dragees-nocciole-webstore-24-01-2020-4.jpeg,"I nostri dragèes di Nocciola Tonda Gentile ricoperte di cioccolato fondente e al latte.

Sacchetto da gr.200",1746,"[{'@type': 'Offer', 'price': '12.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '12.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/dragees-nocciole/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-extra-bitter-74/#product,Tavoletta Cioccolato Fondente Extra Bitter 75%,https://bicerin.it/prodotto/tavoletta-extra-bitter-74/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8663.jpg,"Il nostro cioccolato fondente extra bitter, 75% minimo di cacao, senza zucchero.

Tavoletta da gr.100",63,"[{'@type': 'Offer', 'price': '6.00', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '6.00', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-extra-bitter-74/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-fondente-extra-54/#product,Tavoletta Cioccolato Fondente Extra 54%,https://bicerin.it/prodotto/tavoletta-fondente-extra-54/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8666.jpg,"Il nostro cioccolato fondente extra puro non aromatizzato, 54% minimo di cacao.

Tavoletta da gr.100",844,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-fondente-extra-54/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-ratafia/#product,Tavoletta Cioccolato Fondente Extra 54% al Ratafià,https://bicerin.it/prodotto/tavoletta-ratafia/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8667.jpg,"Il nostro cioccolato fondente extra al ratafià di ciliegie nere, 54% minimo di cacao.

Tavoletta da gr.100",845,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-ratafia/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-assenzio/#product,Tavoletta Cioccolato Fondente Extra 54% all'Assenzio,https://bicerin.it/prodotto/tavoletta-assenzio/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8668.jpg,"Il nostro cioccolato fondente extra all'assenzio, 54% minimo di cacao.

Tavoletta da gr.100",846,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-assenzio/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-peperoncino/#product,Tavoletta Cioccolato Fondente Extra 54% al Peperoncino,https://bicerin.it/prodotto/tavoletta-peperoncino/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8669.jpg,"Il nostro cioccolato fondente extra al peperoncino, 54% minimo di cacao.

Tavoletta da gr.100",852,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-peperoncino/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-cannella/#product,Tavoletta Cioccolato Fondente Extra 54% alla Cannella,https://bicerin.it/prodotto/tavoletta-cannella/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8671.jpg,"Il nostro cioccolato fondente extra alla cannella, 54% minimo di cacao.

Tavoletta da gr.100",851,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-cannella/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-zenzero/#product,Tavoletta Cioccolato Fondente Extra 54% allo Zenzero,https://bicerin.it/prodotto/tavoletta-zenzero/,https://bicerin.it/wp-content/uploads/2017/10/IMG_8699.jpg,"Il nostro cioccolato fondente extra allo zenzero, 54% minimo di cacao.

Tavoletta da gr.100",847,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-zenzero/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-bianco/#product,Tavoletta Cioccolato Bianco,https://bicerin.it/prodotto/tavoletta-bianco/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8664.jpg,"Il nostro cioccolato bianco.

Tavoletta da gr.100",850,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-bianco/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-latte/#product,Tavoletta Cioccolato al Latte,https://bicerin.it/prodotto/tavoletta-latte/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8670.jpg,"Il nostro cioccolato al latte.

Tavoletta da gr.100",848,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/tavoletta-latte/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/tavoletta-mandorlatte/#product,Tavoletta Cioccolato Mandorlatte,https://bicerin.it/prodotto/tavoletta-mandorlatte/,https://bicerin.it/wp-content/uploads/2017/10/servizio-fotografico-senza-titolo-8665.jpg,"Il nostro cioccolato al latte con le mandorle.

Tavoletta da gr.100",849,"[{'@type': 'Offer', 'price': '5.50', 'priceValidUntil': '2023-12-31', 'priceSpecification': {'price': '5.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/OutOfStock', 'url': 'https://bicerin.it/prodotto/tavoletta-mandorlatte/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
https://schema.org/,Product,https://bicerin.it/prodotto/caffe-macinato/#product,Caffè 100% Arabica macinato,https://bicerin.it/prodotto/caffe-macinato/,https://bicerin.it/wp-content/uploads/2017/11/IMG_8817.jpg,"Il caffè che usiamo per preparare il bicerin, già macinato per uso domestico, in un'elegante lattina.
La speciale miscela deriva da un’accurata selezione di pregiate qualità arabica.

Lattina sotto vuoto da gr.250",1152,"[{'@type': 'Offer', 'price': '9.50', 'priceValidUntil': '2022-12-31', 'priceSpecification': {'price': '9.50', 'priceCurrency': 'EUR', 'valueAddedTaxIncluded': 'false'}, 'priceCurrency': 'EUR', 'availability': 'http://schema.org/InStock', 'url': 'https://bicerin.it/prodotto/caffe-macinato/', 'seller': {'@type': 'Organization', 'name': 'Bicerin', 'url': 'https://bicerin.it'}}]"
